,summary,Winter,Energie,Politik,Gesundheit,word
unternehmerin beschäftig,1.9336659216123846,-0.04205620825408409,-0.024768007351391886,0.07013755304280507,0.13403267936536192,unternehmerin beschäftig
tragbare,1.930854269135703,-0.04060109722657961,-0.02619621864836511,0.07159266407030945,0.1354877903928664,tragbare
beschäftig tragbar,1.930854269135703,-0.04060109722657961,-0.02619621864836511,0.07159266407030945,0.1354877903928664,beschäftig tragbar
Tarife,4.258305885575561,-0.8315099674882958,0.40379069407909784,-0.7193162061914067,-0.6554210798688497,Tarife
tragbar tarif,1.9289897718268658,-0.03963499733546014,-0.027146737332642116,0.07255876396142884,0.13645389028398586,tragbar tarif
tarif find,1.9269915882891815,-0.03859858998286597,-0.028168458087674854,0.07359517131402303,0.13749029763657988,tarif find
find betrieb,1.9237594207400541,-0.03691986897462763,-0.029827861725075497,0.07527389232226131,0.13916901864481826,find betrieb
überlasten.…,1.9210658234403828,-0.03551871413960435,-0.031217143830247557,0.0766750471572847,0.14057017347984174,überlasten.…
betrieb überlasten.…,1.9210658234403828,-0.03551871413960435,-0.031217143830247557,0.0766750471572847,0.14057017347984174,betrieb überlasten.…
+7521,1.9186741925998396,-0.03427298857493767,-0.03245557550832555,0.0779207727219513,0.14181589904450823,+7521
überlasten.… +7521,1.9186741925998396,-0.03427298857493767,-0.03245557550832555,0.0779207727219513,0.14181589904450823,überlasten.… +7521
+7521 chars,1.9176830542741397,-0.03375628051884655,-0.03297016187791651,0.07843748077804248,0.14233260710059945,+7521 chars
Events,2.062417989385089,0.38443169976868646,-0.2755163798411966,0.005676119838316176,0.06957124616087319,Events
events energiekrise,2.07445201957997,0.3943300095445807,-0.2813343359835873,-0.0001418363040746563,0.06375329001848243,events energiekrise
energiekrise licht,2.0881427476746923,0.4053366082135642,-0.2879123375555824,-0.0067198378760697595,0.05717528844648729,energiekrise licht
Veranstaltungsbranche,2.4447643119718188,0.6220135453577462,-0.4455860264863401,-0.1643935268068274,-0.10049840048427039,Veranstaltungsbranche
für veranstaltungsbranche,2.4447643119718188,0.6220135453577462,-0.4455860264863401,-0.1643935268068274,-0.10049840048427039,für veranstaltungsbranche
veranstaltungsbranche komm,2.5046804299778205,0.648934846904772,-0.4697984576630094,-0.18860595798349677,-0.12471083166093984,veranstaltungsbranche komm
Energiespardebatten,2.530739540278153,0.6600331491972196,-0.4801488725634229,-0.1989563728839101,-0.13506124656135324,Energiespardebatten
komm energiespardebatte,2.530739540278153,0.6600331491972196,-0.4801488725634229,-0.1989563728839101,-0.13506124656135324,komm energiespardebatte
Unzeit,2.6489998620130195,0.7063045057200016,-0.5258194623271526,-0.24462696264763997,-0.180731836325083,Unzeit
energiespardebatte unzeit,2.6489998620130195,0.7063045057200016,-0.5258194623271526,-0.24462696264763997,-0.180731836325083,energiespardebatte unzeit
trifft,5.60298272206339,0.44409519070761,0.006684399273818068,-0.9937438893324725,-0.9298487630099156,trifft
inflation treff,3.735073619585707,0.49072094663347776,-0.5073637515016742,0.45306058963650275,-0.5243172072483455,inflation treff
treff hart,2.987893152384038,0.8104404204295861,-0.6462058118510249,-0.365013312171512,-0.30111818584895506,treff hart
nächste,5.053773671778668,0.7713688465381909,-0.6356956454112933,0.006850730400062364,-0.8266849040899452,nächste
hart nächster,4.478845489921094,0.892138762429649,-1.0510026142005566,0.1276206462915203,-0.7059149881984871,hart nächster
Pandemie-Winter,3.563461445865627,0.9281001177039008,-0.8223696928525018,-0.5411771931729891,-0.477282066850432,Pandemie-Winter
nächster pandemie-winter,3.563461445865627,0.9281001177039008,-0.8223696928525018,-0.5411771931729891,-0.477282066850432,nächster pandemie-winter
pandemie-winter steh,3.7013385193689357,0.9493379546681238,-0.8603318203491277,-0.5791393206696149,-0.515244194347058,pandemie-winter steh
steh bevor,4.76359847282164,0.8330234888938304,-0.666943082497756,-0.21048046336883255,-0.7675530424436948,steh bevor
bevor licht,2.7191292267502285,0.7309545690739659,-0.5519489959563013,-0.27075649627678866,-0.2068613699542318,bevor licht
bleiben.,2.235502270278975,0.5090941680958538,-0.3561032363764015,-0.07491073669688872,-0.01101561037433189,bleiben.
licht bleiben.,2.235502270278975,0.5090941680958538,-0.3561032363764015,-0.07491073669688872,-0.01101561037433189,licht bleiben.
bleiben. von,2.197059177946922,0.48435394518191033,-0.3387570329645633,-0.05756453328505058,0.006330593037506271,bleiben. von
Stephan,2.897064143283305,0.19654448641271458,0.013762849429998445,-0.33414266426834704,-0.27024753794579004,Stephan
von stephan,2.187070688972039,0.47767928271425125,-0.33420036764632294,-0.053007867966810195,0.01088725835574666,von stephan
Lenhardt.,2.169083050206468,0.4653883271170591,-0.3259418248686828,-0.04474932518917011,0.019145801133386826,Lenhardt.
stephan lenhardt.,2.169083050206468,0.4653883271170591,-0.3259418248686828,-0.04474932518917011,0.019145801133386826,stephan lenhardt.
/em,4.163956199922312,0.3989534580130045,-0.01876762826226568,-0.6969104363946786,-0.6330153100721215,/em
lenhardt. /em,2.1496375010939643,0.4516930294195799,-0.31693652790938975,-0.035744028229876934,0.02815109809268005,lenhardt. /em
/em für,2.140948482904641,0.44543080914583616,-0.3128862512804401,-0.031693751600927265,0.0322013747216296,/em für
licht bleib,2.235502270278975,0.5090941680958538,-0.3561032363764015,-0.07491073669688872,-0.01101561037433189,licht bleib
Gerade,2.2050563528778393,0.48962279767075634,-0.342390369560373,-0.0611978698808604,0.00269725644169654,Gerade
+4392,2.180035615925039,0.47291430611003665,-0.33097851837527076,-0.04978601869575801,0.014109107626798914,+4392
gerade +4392,2.180035615925039,0.47291430611003665,-0.33097851837527076,-0.04978601869575801,0.014109107626798914,gerade +4392
+4392 chars,2.1669989166923735,0.4639411321182167,-0.324980526770308,-0.04378802709079514,0.02010709923176184,+4392 chars
Haben,2.824318361648506,0.0658493968976646,0.07478066174398547,-0.3087118520196835,-0.24481672569712637,Haben
italien hab,2.824318361648506,0.0658493968976646,0.07478066174398547,-0.3087118520196835,-0.24481672569712637,italien hab
hab genug,3.0214861564734536,0.0047058807422833545,0.12248415603976828,-0.3761936195833823,-0.3122984932608254,hab genug
genug gas,7.409448748443687,0.07601040547610789,0.2473725014417386,-1.2732008480660493,-1.2093057217434924,genug gas
gas problem,3.0801555785836494,-0.002133289049171744,0.13068750846411178,-0.3954249126848513,-0.33152978636229424,gas problem
Preis,10.24277820545018,-0.3039144687124952,0.15647839635037397,0.27888727862738794,-1.5331225700650577,Preis
problem preis,2.7067407839584843,0.14720443073341782,0.018990912508463284,-0.2661900528143801,-0.2022949264918232,problem preis
preis nan,2.6524610491982217,0.17574512582134694,-0.0042738197342327275,-0.24593271128370128,-0.18203758496114425,preis nan
nan italien,2.6699995797249634,0.11302898032038869,0.03265784586915439,-0.252523119453689,-0.18862799313113218,nan italien
Darstellung,2.555771459608246,0.2459019795057439,-0.06165824834153485,-0.2087989236667968,-0.1449037973442397,Darstellung
italien darstellung,2.555771459608246,0.2459019795057439,-0.06165824834153485,-0.2087989236667968,-0.1449037973442397,italien darstellung
Energieminister,4.9569125938682665,-0.023642867798567852,0.23645701864436117,-0.8712278904618798,-0.8073327641393228,Energieminister
darstellung energieminister,2.5282660378136446,0.2873451638877565,-0.09437182086457911,-0.19797851167248173,-0.1340833853499247,darstellung energieminister
Roberto,2.523226871726035,0.32671693332822727,-0.1241313856604922,-0.1959833914775674,-0.13208826515501054,Roberto
energieminister roberto,2.523226871726035,0.32671693332822727,-0.1241313856604922,-0.1959833914775674,-0.13208826515501054,energieminister roberto
Cingolani,2.5279614803085972,0.34698007574339534,-0.1390078813578397,-0.19785804339674687,-0.1339629170741899,Cingolani
roberto cingolani,2.5279614803085972,0.34698007574339534,-0.1390078813578397,-0.19785804339674687,-0.1339629170741899,roberto cingolani
genügend,2.5410346207331718,0.3738687005145061,-0.15843680474438263,-0.20301613353893133,-0.1391210072163742,genügend
cingolani genügend,2.5410346207331718,0.3738687005145061,-0.15843680474438263,-0.20301613353893133,-0.1391210072163742,cingolani genügend
genügend erdgas,2.5607476472118456,0.40047795200082875,-0.17748818700060426,-0.21074406999331244,-0.14684894367075535,genügend erdgas
gespeichert,5.211403526915652,0.21418820332263433,0.13896817870542322,-0.9212940148966667,-0.8573988885741098,gespeichert
erdgas speicher,2.5826670632493394,0.4235286906653484,-0.19399589089259878,-0.21926741488005244,-0.1553722885574956,erdgas speicher
ausreichende,2.66664165746177,0.4892211870190235,-0.2420534664801312,-0.25126467896383614,-0.18736955264127916,ausreichende
speicher ausreichend,2.66664165746177,0.4892211870190235,-0.2420534664801312,-0.25126467896383614,-0.18736955264127916,speicher ausreichend
Zuflüsse,3.5297304444245543,0.3404842064607742,-0.018788788185504564,-0.5316663111246355,-0.46777118480207835,Zuflüsse
ausreichend zufluß,2.808027175346927,0.5692235491906489,-0.3049597845862877,-0.3029269683947609,-0.239031842072204,ausreichend zufluß
zufluß winter,3.652906730567072,0.8308904620550915,-0.5808117368112584,-0.5659680196512585,-0.5020728933287015,zufluß winter
überstehen,3.619248089984788,0.8274286190991332,-0.578272168361104,-0.5567110987619511,-0.49281597243939407,überstehen
winter übersteh,2.943974270714969,0.6405377307968227,-0.37176633530859016,-0.3502052657094373,-0.2863101393868804,winter übersteh
dies sei,2.6500261396784466,0.5199020744664008,-0.27685970361862633,-0.24501430842700814,-0.1811191821044511,dies sei
Voraussetzung,2.539734933807939,0.46628020138804,-0.24191750374432067,-0.2025045232642949,-0.13860939694173802,Voraussetzung
sei voraussetzung,2.539734933807939,0.46628020138804,-0.24191750374432067,-0.2025045232642949,-0.13860939694173802,sei voraussetzung
+166,2.403498142839656,0.3945484383574275,-0.20167925934444042,-0.14737004010953336,-0.08347491378697641,+166
voraussetzung +166,2.403498142839656,0.3945484383574275,-0.20167925934444042,-0.14737004010953336,-0.08347491378697641,voraussetzung +166
+166 chars,2.389013517411678,0.38665980320015214,-0.19771123252170952,-0.14132533096381747,-0.07743020464126044,+166 chars
Pipeline-Druck,2.1594948115982584,-0.15251287656654633,0.07280668987331473,-0.040319115269657195,0.02357601105289968,Pipeline-Druck
